sep=;
Variable;Function;Access;Process;Data races;Shared variable;Byte offset;Location
"XcpPacket@Xcp_SendDaqTxConf___1770@""ALL_bc_with_context.c""";CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[4,5];ALL_bc_with_context.c:125238.37-62
"XcpPacket@Xcp_SendDaqTxConf___1770@""ALL_bc_with_context.c""";CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[4,5];ALL_bc_with_context.c:125256.19-44
"XcpPacket@Xcp_SendDaqTxConf___1770@""ALL_bc_with_context.c""";CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[0,3];ALL_bc_with_context.c:125260.26-52
"XcpPacket@Xcp_SendDaqTxConf___1770@""ALL_bc_with_context.c""";Xcp_CanTransmit;read;Process 42;no;no;[0,3];ALL_bc_with_context.c:262065.56-80
"XcpPacket@Xcp_SendDaqTxConf___1770@""ALL_bc_with_context.c""";Xcp_CanTransmit;read;Process 42;no;no;[4,5];ALL_bc_with_context.c:262065.91-114
XcpPacket@Xcp_SendDaq;CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[0,3];ALL_bc_with_context.c:125096.23-49
XcpPacket@Xcp_SendDaq;CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[4,5];ALL_bc_with_context.c:125169.19-44
XcpPacket@Xcp_SendDaq;CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[4,5];ALL_bc_with_context.c:125175.33-58
XcpPacket@Xcp_SendDaq;CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[4,5];ALL_bc_with_context.c:125232.24-49
XcpPacket@Xcp_SendDaq;CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[4,5];ALL_bc_with_context.c:125238.37-62
XcpPacket@Xcp_SendDaq;CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[4,5];ALL_bc_with_context.c:125256.19-44
XcpPacket@Xcp_SendDaq;CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[0,3];ALL_bc_with_context.c:125260.26-52
XcpPacket@Xcp_SendDaq;Xcp_CanTransmit;read;Process 42;no;no;[0,3];ALL_bc_with_context.c:262065.56-80
XcpPacket@Xcp_SendDaq;Xcp_CanTransmit;read;Process 42;no;no;[4,5];ALL_bc_with_context.c:262065.91-114
XcpPacket@Xcp_BlockUpload;Xcp_CmdUpload;read;Process 42;no;no;[0,3];ALL_bc_with_context.c:266133.73-94
"XcpPacket@Xcp_Background_Tasks___1707@""ALL_bc_with_context.c""";Xcp_CmdConnect;read;Process 42;no;no;[0,3];ALL_bc_with_context.c:262470.75-96
"XcpPacket@Xcp_Background_Tasks___1707@""ALL_bc_with_context.c""";Xcp_CmdAllocDaq;read;Process 42;no;no;[0,3];ALL_bc_with_context.c:263052.77-98
"XcpPacket@Xcp_Background_Tasks___1707@""ALL_bc_with_context.c""";Xcp_CmdAllocOdt;read;Process 42;no;no;[0,3];ALL_bc_with_context.c:263129.77-98
"XcpPacket@Xcp_Background_Tasks___1707@""ALL_bc_with_context.c""";Xcp_CmdAllocOdtEntry;read;Process 42;no;no;[0,3];ALL_bc_with_context.c:263240.87-108
"XcpPacket@Xcp_Background_Tasks___1707@""ALL_bc_with_context.c""";Xcp_CmdBuildChecksum;read;Process 42;no;no;[0,3];ALL_bc_with_context.c:263377.87-108
"XcpPacket@Xcp_Background_Tasks___1707@""ALL_bc_with_context.c""";Xcp_CmdCopyCalPage;read;Process 42;no;no;[0,3];ALL_bc_with_context.c:263546.83-104
